,TotalDemand,Price,Date,Time,Tmax,MeanPrice,Year,Quarter
11371,8878.65667,84.98,2000-08-25,00:00:00,18.7,46.392149490373725,2000,3
11419,8877.62167,68.55,2000-08-26,00:00:00,19.8,46.392149490373725,2000,3
11467,7788.88,41.98,2000-08-27,00:00:00,20.9,46.392149490373725,2000,3
11515,7217.59,29.56,2000-08-28,00:00:00,17.6,46.392149490373725,2000,3
11563,8266.52167,38.71,2000-08-29,00:00:00,18.9,46.392149490373725,2000,3
11611,8369.45,39.85,2000-08-30,00:00:00,20.2,46.392149490373725,2000,3
11659,8175.23833,37.85,2000-08-31,00:00:00,21.7,46.392149490373725,2000,3
11707,8167.96833,36.27,2000-09-01,00:00:00,19.7,46.392149490373725,2000,3
11755,8089.53833,38.01,2000-09-02,00:00:00,18.0,46.392149490373725,2000,3
11803,7213.46167,19.9,2000-09-03,00:00:00,22.3,46.392149490373725,2000,3
11851,7122.87333,28.7,2000-09-04,00:00:00,20.6,46.392149490373725,2000,3
11899,8142.815,36.66,2000-09-05,00:00:00,26.6,46.392149490373725,2000,3
11947,7985.36333,36.72,2000-09-06,00:00:00,22.0,46.392149490373725,2000,3
11995,8079.485,32.75,2000-09-07,00:00:00,18.5,46.392149490373725,2000,3
12043,8256.165,39.45,2000-09-08,00:00:00,22.6,46.392149490373725,2000,3
12091,7993.71833,35.95,2000-09-09,00:00:00,22.1,46.392149490373725,2000,3
12139,7174.00833,15.23,2000-09-10,00:00:00,17.2,46.392149490373725,2000,3
12187,7080.57667,17.77,2000-09-11,00:00:00,23.3,46.392149490373725,2000,3
12235,8043.29167,35.67,2000-09-12,00:00:00,17.4,46.392149490373725,2000,3
12283,8128.47,35.28,2000-09-13,00:00:00,22.7,46.392149490373725,2000,3
12331,8022.98667,33.0,2000-09-14,00:00:00,25.5,46.392149490373725,2000,3
12379,7773.26167,24.29,2000-09-15,00:00:00,19.4,46.392149490373725,2000,3
12427,7778.62833,22.02,2000-09-16,00:00:00,21.6,46.392149490373725,2000,3
12475,6764.43333,16.3,2000-09-17,00:00:00,30.0,46.392149490373725,2000,3
12523,6692.85333,15.82,2000-09-18,00:00:00,29.0,46.392149490373725,2000,3
12571,7610.78333,16.5,2000-09-19,00:00:00,25.0,46.392149490373725,2000,3
12619,7602.13667,22.04,2000-09-20,00:00:00,22.9,46.392149490373725,2000,3
12667,7630.56833,21.6,2000-09-21,00:00:00,25.6,46.392149490373725,2000,3
12715,7549.30833,17.44,2000-09-22,00:00:00,23.1,46.392149490373725,2000,3
12763,7473.07,23.27,2000-09-23,00:00:00,21.6,46.392149490373725,2000,3
12811,6676.345,24.85,2000-09-24,00:00:00,21.4,46.392149490373725,2000,3
12859,6660.53667,15.89,2000-09-25,00:00:00,18.3,46.392149490373725,2000,3
12907,7624.17333,24.62,2000-09-26,00:00:00,17.6,46.392149490373725,2000,3
12955,7701.27667,23.39,2000-09-27,00:00:00,28.4,46.392149490373725,2000,3
13003,7526.12167,24.67,2000-09-28,00:00:00,23.0,46.392149490373725,2000,3
13051,7516.60667,21.71,2000-09-29,00:00:00,35.6,46.392149490373725,2000,3
13099,7405.095,15.67,2000-09-30,00:00:00,24.1,46.392149490373725,2000,3
13147,6531.24667,13.7,2000-10-01,00:00:00,23.7,26.128890398550723,2000,4
13195,6515.30167,18.63,2000-10-02,00:00:00,22.8,26.128890398550723,2000,4
13243,7072.31167,31.34,2000-10-03,00:00:00,22.8,26.128890398550723,2000,4
13291,7481.14667,35.52,2000-10-04,00:00:00,21.5,26.128890398550723,2000,4
13339,7502.21833,30.18,2000-10-05,00:00:00,26.1,26.128890398550723,2000,4
13387,7426.92167,23.49,2000-10-06,00:00:00,35.3,26.128890398550723,2000,4
13435,7323.955,15.38,2000-10-07,00:00:00,30.0,26.128890398550723,2000,4
13483,6543.11167,16.7,2000-10-08,00:00:00,28.3,26.128890398550723,2000,4
13531,6464.17,16.71,2000-10-09,00:00:00,18.4,26.128890398550723,2000,4
13579,7492.35167,31.3,2000-10-10,00:00:00,24.7,26.128890398550723,2000,4
13627,7503.45667,32.1,2000-10-11,00:00:00,18.8,26.128890398550723,2000,4
13675,7577.10167,31.4,2000-10-12,00:00:00,22.0,26.128890398550723,2000,4
13723,7491.75167,18.77,2000-10-13,00:00:00,18.3,26.128890398550723,2000,4
13771,7555.62333,35.7,2000-10-14,00:00:00,21.4,26.128890398550723,2000,4
13819,6734.51333,29.99,2000-10-15,00:00:00,22.9,26.128890398550723,2000,4
13867,6606.95833,27.6,2000-10-16,00:00:00,19.3,26.128890398550723,2000,4
13915,7547.34167,38.75,2000-10-17,00:00:00,18.4,26.128890398550723,2000,4
13963,7592.01667,37.7,2000-10-18,00:00:00,20.1,26.128890398550723,2000,4
14011,7647.30833,39.79,2000-10-19,00:00:00,24.0,26.128890398550723,2000,4
14059,7542.95667,37.0,2000-10-20,00:00:00,22.9,26.128890398550723,2000,4
14107,7481.65333,39.61,2000-10-21,00:00:00,19.1,26.128890398550723,2000,4
14155,6597.08333,28.53,2000-10-22,00:00:00,21.6,26.128890398550723,2000,4
14203,6586.71,18.58,2000-10-23,00:00:00,24.9,26.128890398550723,2000,4
14251,7432.79,23.36,2000-10-24,00:00:00,25.6,26.128890398550723,2000,4
14299,7436.79667,22.67,2000-10-25,00:00:00,28.9,26.128890398550723,2000,4
14347,7399.855,17.0,2000-10-26,00:00:00,26.9,26.128890398550723,2000,4
14395,7428.55833,18.78,2000-10-27,00:00:00,25.2,26.128890398550723,2000,4
14443,7377.55,18.9,2000-10-28,00:00:00,17.3,26.128890398550723,2000,4
14491,6629.57167,15.04,2000-10-29,00:00:00,18.5,26.128890398550723,2000,4
14539,6617.745,15.32,2000-10-30,00:00:00,18.3,26.128890398550723,2000,4
14587,7490.135,17.11,2000-10-31,00:00:00,20.7,26.128890398550723,2000,4
14635,7449.3,21.39,2000-11-01,00:00:00,22.1,26.128890398550723,2000,4
14683,7466.24833,35.31,2000-11-02,00:00:00,22.1,26.128890398550723,2000,4
14731,7500.50833,210.76,2000-11-03,00:00:00,24.2,26.128890398550723,2000,4
14779,7322.59333,31.92,2000-11-04,00:00:00,21.1,26.128890398550723,2000,4
14827,6535.12833,16.47,2000-11-05,00:00:00,20.0,26.128890398550723,2000,4
14875,6455.25667,14.11,2000-11-06,00:00:00,19.5,26.128890398550723,2000,4
14923,7440.06333,17.4,2000-11-07,00:00:00,19.4,26.128890398550723,2000,4
14971,7427.77833,17.76,2000-11-08,00:00:00,21.0,26.128890398550723,2000,4
15019,7392.625,31.36,2000-11-09,00:00:00,23.3,26.128890398550723,2000,4
15067,7266.06167,29.32,2000-11-10,00:00:00,24.0,26.128890398550723,2000,4
15115,7270.9,20.57,2000-11-11,00:00:00,23.5,26.128890398550723,2000,4
15163,6497.48667,15.72,2000-11-12,00:00:00,23.9,26.128890398550723,2000,4
15211,6441.62333,14.85,2000-11-13,00:00:00,22.2,26.128890398550723,2000,4
15259,7286.49167,22.19,2000-11-14,00:00:00,18.5,26.128890398550723,2000,4
15307,7365.175,24.97,2000-11-15,00:00:00,20.2,26.128890398550723,2000,4
15355,7511.41833,22.94,2000-11-16,00:00:00,20.3,26.128890398550723,2000,4
15403,7465.985,31.0,2000-11-17,00:00:00,25.6,26.128890398550723,2000,4
15451,7323.215,19.64,2000-11-18,00:00:00,20.2,26.128890398550723,2000,4
15499,6528.89833,16.63,2000-11-19,00:00:00,22.0,26.128890398550723,2000,4
